peId,peMonth,peDay,pePday,peType,peDesc,peReading,peDisplay,peIndex,peFlag
1089,1,27,999,Epistle,Saint,Heb_7026_8002,Hebrews 7:26-8:2,36,0
1090,1,27,999,Gospel,Saint,John_10009_10016,John 10:9-16,37,0
1091,1,30,999,Vespers,"",Deut_1008_1011|Deut_1015_1017,"Deuteronomy 1:8-11, 15-17",4,0
1092,1,30,999,Vespers,"",Deut_10014_10021,Deuteronomy 10:14-21,5,0
1093,1,30,999,Vespers,"",Wis_3001_3009,Wisdom of Solomon 3:1-9,6,0
1094,1,30,999,Epistle,Hierarchs,Heb_13007_13016,Hebrews 13:7-16,36,0
1095,1,30,999,Gospel,Hierarchs,Matt_5014_5019,Matthew 5:14-19,37,0
1096,2,2,999,Vespers,"",Comp_6001_6005,"Composite 6 - Exodus 12, 13; Numbers 8; Leviticus 12",4,0
1097,2,2,999,Vespers,"",Isa_6001_6012,Isaiah 6:1-12,5,0
1098,2,2,999,Vespers,"",Comp_7001_7002,"Composite 7 - Isaiah 19:1, 3, 4-5, 12, 16, 19-21",6,0
1099,2,2,999,Matins Gospel,"",Luke_2025_2032,Luke 2:25-32,40,0
1100,2,2,999,Epistle,Meeting,Heb_7007_7017,Hebrews 7:7-17,89,0
1101,2,2,999,Gospel,Meeting,Luke_2022_2040,Luke 2:22-40,99,0
1102,2,5,999,Vespers,"",Comp_2001_2004,"Composite 2 - Proverbs 10, 3, 8",4,0
1103,2,5,999,Vespers,"",Comp_4001_4004,"Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9",5,0
1104,2,5,999,Vespers,"",Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1105,2,5,999,Matins Gospel,"",John_10009_10016,John 10:9-16,29,0
1106,2,5,999,Epistle,Saint,Heb_13017_13021,Hebrews 13:17-21,36,0
1107,2,5,999,Gospel,Saint,Luke_6017_6023,Luke 6:17-23,37,0
1108,2,24,999,Vespers,"",Comp_8001_8003,"Composite 8 - Isaiah 40, 41, 45, 48, 54",4,0
1109,2,24,999,Vespers,"",Comp_9001_9003,"Composite 9 - Malachi 3, 4",5,0
1110,2,24,999,Vespers,"",Comp_3001_3003,"Composite 3 - Wisdom of Solomon 4, 5",6,0
1111,2,24,999,Matins Gospel,"",Luke_7017_7030,Luke 7:17-30,29,0
1112,2,24,999,Epistle,Forerunner,2Cor_4006_4015,2 Corinthians 4:6-15,36,0
1113,2,24,999,Gospel,Forerunner,Matt_11002_11015,Matthew 11:2-15,37,0
1114,2,27,999,Vespers,"",Comp_2001_2004,"Composite 2 - Proverbs 10, 3, 8",4,0
1115,2,27,999,Vespers,"",Prov_10031_11012,Proverbs 10:31-11:12,5,0
1116,2,27,999,Vespers,"",Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1117,2,27,999,Epistle,St. Raphael,Heb_13017_13021,Hebrews 13:17-21,36,0
1118,2,27,999,Gospel,St. Raphael,John_10009_10016,John 10:9-16,37,0
1119,3,9,999,Epistle,Martyrs,Heb_12001_12010,Hebrews 12:1-10,36,0
1120,3,9,999,Gospel,Martyrs,Matt_20001_20016,Matthew 20:1-16,37,0
1121,3,24,999,Vespers,Theotokos,Gen_28010_28017,Genesis 28:10-17,4,0
1122,3,24,999,Vespers,Theotokos,Ezek_43027_44004,Ezekiel 43:27-44:4,5,0
1123,3,24,999,Vespers,Theotokos,Prov_9001_9011,Proverbs 9:1-11,6,0
1124,3,25,999,Matins Gospel,Theotokos,Luke_1039_1049|Luke_1056_1056,"Luke 1:39-49, 56",29,0
1125,3,25,999,Vespers,Theotokos,Exod_3001_3008,Exodus 3:1-8,4,0
1126,3,25,999,Vespers,Theotokos,Prov_8022_8030,Proverbs 8:22-30,5,0
1127,3,25,999,Epistle,Theotokos,Heb_2011_2018,Hebrews 2:11-18,89,0
1128,3,25,999,Gospel,Theotokos,Luke_1024_1038,Luke 1:24-38,99,0
1129,3,26,999,Epistle,Theotokos,Heb_2011_2018,Hebrews 2:11-18,36,0
1130,3,26,999,Gospel,Theotokos,Luke_1024_1038,Luke 1:24-38,37,0
1131,3,31,999,Vespers,Saint,Comp_2001_2004,Composite 2,4,0
1132,3,31,999,Vespers,Saint,Comp_3001_3003,Composite 3,5,0
1133,3,31,999,Vespers,Saint,Comp_4001_4004,Composite 4,6,0
1134,3,31,999,Matins Gospel,St. Innocent,John_10001_10009,John 10:1-9,29,0
1135,3,31,999,Epistle,St. Innocent,Heb_7026_8002,Hebrews 7:26-8:2,36,0
1136,3,31,999,Gospel,St. Innocent,John_10009_10016,John 10:9-16,37,0
1137,4,23,999,Vespers,"",Isa_43009_43014,Isaiah 43:9-14,4,0
1138,4,23,999,Vespers,"",Wis_3001_3009,Wisdom of Solomon 3:1-9,5,0
1139,4,23,999,Vespers,"",Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1140,4,23,999,Matins Gospel,"",Luke_12002_12012,Luke 12:2-12,29,0
1141,4,23,999,Epistle,Saint,Acts_12001_12011,Acts 12:1-11,36,0
1142,4,23,999,Gospel,Saint,John_15017_16002,John 15:17-16:2,37,0
1143,4,25,999,Vespers,"",James_1001_1012,James 1:1-12,4,0
1144,4,25,999,Vespers,"",James_1013_1027,James 1:13-27,5,0
1145,4,25,999,Vespers,"",James_2001_2013,James 2:1-13,6,0
1146,4,25,999,Matins Gospel,"",Luke_10001_10015,Luke 10:1-15,29,0
1147,4,25,999,Epistle,Saint,1Peter_5006_5014,1 Peter 5:6-14,36,0
1148,4,25,999,Gospel,Saint,Mark_6007_6013,Mark 6:7-13,37,0
1149,4,30,999,Vespers,"",James_1001_1012,James 1:1-12,4,0
